../2018-01-22__export__K1024-5_K1024-6_K1024-7_K1024-8_K1024-9_K1025-5_K1025-6_K1025-7_K1025-8_K1025-9_K1026-5_K1026-6_K1026-7_K1026-8_K1026-9_K1067-3_K1067-4_K1067-5_K1067-6_K1067-7_K1068-3_K1068-4_K1068-5_K1068-6_K1068-7_/fastq2/IGH_FR2_output_v1.3.3_automated/index014_014.fastq	Total count	140984
IGHV3-48_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-48_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-48_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-48_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-53_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-53_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-53_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-53_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-66_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-66_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-66_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-66_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-7_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-7_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-7_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-7_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-7_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-7_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-72_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-72_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-72_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-72_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-73_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-73_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-73_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-73_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-74_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-74_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-74_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-74_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-74_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-74_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-9_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-9_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-9_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-9_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-NL1_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-NL1_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-d_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-d_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR15-7_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR15-7_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR15-7_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR15-7_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR15-7_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR15-7_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR15-7_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR15-7_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-10_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-10_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-10_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-10_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-10_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-10_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-12_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-12_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-13_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-13_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-6_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-6_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-8_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-8_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-8_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-8_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR16-9_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR16-9_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-28_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-28_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-28_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-28_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-28_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-28_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-28_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-28_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-28_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-28_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-28_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-28_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-2_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-2_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-2_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-2_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-2_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-2_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-2_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-2_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-2_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-2_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-4_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-4_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-4_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-4_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-4_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-4_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-4_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-4_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-4_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-4_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-30-4_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-30-4_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_09	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_09	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31_10	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-31_10	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_09	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_09	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_10	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_10	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_11	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_11	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_12	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_12	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-34_13	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-34_13	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-39_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-39_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-39_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-39_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-39_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-39_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-39_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-39_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-39_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-39_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-39_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-39_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-39_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-39_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-4_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-4_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-4_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-4_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-4_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-4_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-4_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-4_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-4_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-4_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-4_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-4_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-4_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-4_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_09	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_09	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59_10	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-59_10	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-61_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-61_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-61_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-61_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-61_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-61_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-61_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-61_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-61_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-61_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-61_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-61_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-61_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-61_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-61_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-61_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-b_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-b_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-b_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4-b_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4/OR15-8_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4/OR15-8_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4/OR15-8_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4/OR15-8_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4/OR15-8_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV4/OR15-8_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-51_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV5-51_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-51_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV5-51_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-51_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV5-51_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-51_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV5-51_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-51_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV5-51_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-a_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV5-a_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-a_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV5-a_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-a_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV5-a_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV6-1_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV6-1_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV6-1_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV6-1_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-4-1_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV7-4-1_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-4-1_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV7-4-1_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-4-1_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV7-4-1_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-4-1_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV7-4-1_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-4-1_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV7-4-1_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-81_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV7-81_01	0	0	0	0	0	0	0	0	0	0	0	0	0
